operation_id,source,quality_label,is_real_corpus,is_base,is_bijective,is_involution,strict_avalanche,avalanche_error,balance_error,differential_uniformity,max_anf_degree,mean_anf_degree,cycle_count,max_cycle_length,mean_cycle_length,complexity_score,effective_substitution_tables,control_bits,truth_0,truth_1,truth_2,truth_3,truth_4,truth_5,truth_6,truth_7,avalanche_0,avalanche_1,avalanche_2,avalanche_3,avalanche_4,avalanche_5,avalanche_6,avalanche_7,avalanche_8,hamming_dist_0,hamming_dist_1,hamming_dist_2,hamming_dist_3,balance_0,balance_1,balance_2,anf_degree_0,anf_degree_1,anf_degree_2,multiclass_prediction
real_b03_p04_m100,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.7142857142857143,1.0,0.0,0.2857142857142857,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p04_m101,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.7142857142857143,1.0,0.0,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p04_m110,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.14285714285714285,1.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p04_m111,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,1.0,0.7142857142857143,0.2857142857142857,0.0,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p05_m000,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,7.0,8,3,0.0,0.5714285714285714,0.42857142857142855,1.0,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p05_m001,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.14285714285714285,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.42857142857142855,1.0,0.0,0.5714285714285714,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p05_m010,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.0,0.5714285714285714,0.42857142857142855,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p05_m011,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.42857142857142855,1.0,0.0,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p05_m100,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.5714285714285714,0.0,1.0,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p05_m101,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.7142857142857143,0.14285714285714285,0.8571428571428571,0.2857142857142857,1.0,0.42857142857142855,0.5714285714285714,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p05_m110,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.0,1.0,0.42857142857142855,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p05_m111,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,1.0,0.42857142857142855,0.5714285714285714,0.0,0.7142857142857143,0.14285714285714285,0.8571428571428571,0.2857142857142857,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p06_m000,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,4,2.0,7.0,8,3,0.0,0.5714285714285714,0.42857142857142855,1.0,0.14285714285714285,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p06_m001,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,4,2.0,12.584962500721156,384,3,0.14285714285714285,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.0,0.5714285714285714,0.42857142857142855,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p06_m010,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,12.584962500721156,384,3,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.42857142857142855,1.0,0.0,0.5714285714285714,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p06_m011,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,12.584962500721156,384,3,0.42857142857142855,1.0,0.0,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p06_m100,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,4,2.0,12.584962500721156,384,3,0.5714285714285714,0.0,1.0,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.8571428571428571,0.2857142857142857,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p06_m101,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,4,2.0,12.584962500721156,384,3,0.7142857142857143,0.14285714285714285,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.0,1.0,0.42857142857142855,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p06_m110,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,12.584962500721156,384,3,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.14285714285714285,1.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b03_p06_m111,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,12.584962500721156,384,3,1.0,0.42857142857142855,0.5714285714285714,0.0,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p01_m000,real_cet_reconstructed,weak,True,True,True,True,False,0.5,0.0,1.0,1,1.0,6,2,1.3333333333333333,7.0,8,3,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.5714285714285714,1.0,0.8571428571428571,0.7142857142857143,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p01_m001,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,11.584962500721156,192,3,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.7142857142857143,0.8571428571428571,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p01_m010,real_cet_reconstructed,weak,True,False,True,True,False,0.5,0.0,1.0,1,1.0,6,2,1.3333333333333333,11.584962500721156,192,3,0.2857142857142857,0.14285714285714285,0.0,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.5714285714285714,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p01_m011,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,11.584962500721156,192,3,0.42857142857142855,0.0,0.14285714285714285,0.2857142857142857,1.0,0.5714285714285714,0.7142857142857143,0.8571428571428571,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p01_m100,real_cet_reconstructed,weak,True,False,True,True,False,0.5,0.0,1.0,1,1.0,4,2,2.0,11.584962500721156,192,3,0.5714285714285714,1.0,0.8571428571428571,0.7142857142857143,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p01_m101,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,11.584962500721156,192,3,0.7142857142857143,0.8571428571428571,1.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p01_m110,real_cet_reconstructed,weak,True,False,True,True,False,0.5,0.0,1.0,1,1.0,4,2,2.0,11.584962500721156,192,3,0.8571428571428571,0.7142857142857143,0.5714285714285714,1.0,0.2857142857142857,0.14285714285714285,0.0,0.42857142857142855,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p01_m111,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,11.584962500721156,192,3,1.0,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.0,0.14285714285714285,0.2857142857142857,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p02_m000,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,3,2.0,7.0,8,3,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.5714285714285714,1.0,0.7142857142857143,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p02_m001,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,3,2.0,11.584962500721156,192,3,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,0.7142857142857143,0.8571428571428571,0.5714285714285714,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p02_m010,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,3,2.0,11.584962500721156,192,3,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.8571428571428571,0.7142857142857143,1.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p02_m011,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,3,2.0,11.584962500721156,192,3,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,1.0,0.5714285714285714,0.8571428571428571,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p02_m100,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,6,4.0,11.584962500721156,192,3,0.5714285714285714,1.0,0.7142857142857143,0.8571428571428571,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p02_m101,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,6,4.0,11.584962500721156,192,3,0.7142857142857143,0.8571428571428571,0.5714285714285714,1.0,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p02_m110,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,6,4.0,11.584962500721156,192,3,0.8571428571428571,0.7142857142857143,1.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p02_m111,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,6,4.0,11.584962500721156,192,3,1.0,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p03_m000,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,4,2.0,7.0,8,3,0.0,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.2857142857142857,1.0,0.8571428571428571,0.42857142857142855,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p03_m001,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,11.584962500721156,192,3,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.0,0.42857142857142855,0.8571428571428571,1.0,0.2857142857142857,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p03_m010,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,4,2.0,11.584962500721156,192,3,0.2857142857142857,1.0,0.8571428571428571,0.42857142857142855,0.0,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p03_m011,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,11.584962500721156,192,3,0.42857142857142855,0.8571428571428571,1.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p03_m100,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,4,2.0,11.584962500721156,192,3,0.5714285714285714,0.14285714285714285,0.0,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.2857142857142857,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p03_m101,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,11.584962500721156,192,3,0.7142857142857143,0.0,0.14285714285714285,0.5714285714285714,1.0,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p03_m110,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,4,2.0,11.584962500721156,192,3,0.8571428571428571,0.42857142857142855,0.2857142857142857,1.0,0.5714285714285714,0.14285714285714285,0.0,0.7142857142857143,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p03_m111,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,11.584962500721156,192,3,1.0,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.0,0.14285714285714285,0.5714285714285714,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p04_m000,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,7.0,8,3,0.0,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.14285714285714285,1.0,0.7142857142857143,0.42857142857142855,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p04_m001,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.14285714285714285,1.0,0.7142857142857143,0.42857142857142855,0.0,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p04_m010,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.0,0.42857142857142855,0.7142857142857143,1.0,0.14285714285714285,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p04_m011,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.42857142857142855,0.7142857142857143,1.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p04_m100,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.5714285714285714,0.2857142857142857,0.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.14285714285714285,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p04_m101,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.7142857142857143,0.42857142857142855,0.14285714285714285,1.0,0.5714285714285714,0.2857142857142857,0.0,0.8571428571428571,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p04_m110,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.8571428571428571,0.0,0.2857142857142857,0.5714285714285714,1.0,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p04_m111,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,1.0,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.8571428571428571,0.0,0.2857142857142857,0.5714285714285714,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p05_m000,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,7.0,8,3,0.0,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.2857142857142857,1.0,0.42857142857142855,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p05_m001,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.14285714285714285,0.5714285714285714,0.0,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.2857142857142857,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p05_m010,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.2857142857142857,1.0,0.42857142857142855,0.8571428571428571,0.0,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p05_m011,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.42857142857142855,0.8571428571428571,0.2857142857142857,1.0,0.14285714285714285,0.5714285714285714,0.0,0.7142857142857143,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p05_m100,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.0,0.8571428571428571,0.42857142857142855,1.0,0.2857142857142857,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p05_m101,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.7142857142857143,0.0,0.5714285714285714,0.14285714285714285,1.0,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p05_m110,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,0.8571428571428571,0.42857142857142855,1.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p05_m111,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,7,4.0,12.584962500721156,384,3,1.0,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.7142857142857143,0.0,0.5714285714285714,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p06_m000,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,4,4,2.0,7.0,8,3,0.0,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.14285714285714285,1.0,0.42857142857142855,0.7142857142857143,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
real_b04_p06_m001,real_cet_reconstructed,weak,True,False,True,False,False,0.5,0.0,1.0,1,1.0,2,4,4.0,12.584962500721156,384,3,0.14285714285714285,1.0,0.42857142857142855,0.7142857142857143,0.0,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,1,1,1,linear_weak
